Family,Breed,Path
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_15.jpg
Gato,Bombay,images/Bombay_137.jpg
Gato,Abyssinian,images/Abyssinian_128.jpg
Gato,Russian_Blue,images/Russian_Blue_112.jpg
Gato,Bengal,images/Bengal_77.jpg
Perro,american_bulldog,images/american_bulldog_69.jpg
Perro,chihuahua,images/chihuahua_13.jpg
Gato,Bengal,images/Bengal_18.jpg
Perro,basset_hound,images/basset_hound_73.jpg
Perro,english_cocker_spaniel,images/english_cocker_spaniel_84.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_176.jpg
Perro,great_pyrenees,images/great_pyrenees_77.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_58.jpg
Perro,samoyed,images/samoyed_134.jpg
Perro,basset_hound,images/basset_hound_179.jpg
Gato,Bengal,images/Bengal_113.jpg
Perro,great_pyrenees,images/great_pyrenees_190.jpg
Perro,pug,images/pug_140.jpg
Gato,Persian,images/Persian_89.jpg
Perro,wheaten_terrier,images/wheaten_terrier_191.jpg
Perro,pomeranian,images/pomeranian_54.jpg
Perro,wheaten_terrier,images/wheaten_terrier_185.jpg
Gato,Maine_Coon,images/Maine_Coon_24.jpg
Perro,samoyed,images/samoyed_112.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_98.jpg
Perro,wheaten_terrier,images/wheaten_terrier_104.jpg
Perro,german_shorthaired,images/german_shorthaired_184.jpg
Perro,miniature_pinscher,images/miniature_pinscher_58.jpg
Perro,pomeranian,images/pomeranian_110.jpg
Perro,english_setter,images/english_setter_171.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_89.jpg
Perro,leonberger,images/leonberger_176.jpg
Gato,Russian_Blue,images/Russian_Blue_187.jpg
Perro,great_pyrenees,images/great_pyrenees_85.jpg
Perro,english_setter,images/english_setter_97.jpg
Perro,basset_hound,images/basset_hound_197.jpg
Perro,great_pyrenees,images/great_pyrenees_126.jpg
Perro,american_bulldog,images/american_bulldog_203.jpg
Gato,Russian_Blue,images/Russian_Blue_206.jpg
Perro,english_setter,images/english_setter_132.jpg
Perro,english_cocker_spaniel,images/english_cocker_spaniel_8.jpg
Gato,Persian,images/Persian_6.jpg
Perro,shiba_inu,images/shiba_inu_108.jpg
Perro,wheaten_terrier,images/wheaten_terrier_1.jpg
Gato,Bengal,images/Bengal_80.jpg
Perro,basset_hound,images/basset_hound_95.jpg
Perro,japanese_chin,images/japanese_chin_199.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_46.jpg
Gato,Siamese,images/Siamese_40.jpg
Perro,german_shorthaired,images/german_shorthaired_196.jpg
Perro,leonberger,images/leonberger_73.jpg
Perro,american_bulldog,images/american_bulldog_99.jpg
Perro,boxer,images/boxer_187.jpg
Perro,saint_bernard,images/saint_bernard_44.jpg
Perro,miniature_pinscher,images/miniature_pinscher_127.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_19.jpg
Perro,pug,images/pug_190.jpg
Perro,chihuahua,images/chihuahua_98.jpg
Gato,British_Shorthair,images/British_Shorthair_90.jpg
Gato,Ragdoll,images/Ragdoll_80.jpg
Perro,chihuahua,images/chihuahua_28.jpg
Perro,english_cocker_spaniel,images/english_cocker_spaniel_112.jpg
Perro,chihuahua,images/chihuahua_40.jpg
Perro,pomeranian,images/pomeranian_15.jpg
Perro,miniature_pinscher,images/miniature_pinscher_62.jpg
Perro,samoyed,images/samoyed_198.jpg
Perro,havanese,images/havanese_192.jpg
Perro,samoyed,images/samoyed_27.jpg
Perro,samoyed,images/samoyed_17.jpg
Perro,german_shorthaired,images/german_shorthaired_139.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_184.jpg
Gato,Abyssinian,images/Abyssinian_139.jpg
Perro,samoyed,images/samoyed_118.jpg
Perro,american_bulldog,images/american_bulldog_72.jpg
Perro,great_pyrenees,images/great_pyrenees_112.jpg
Perro,boxer,images/boxer_142.jpg
Perro,basset_hound,images/basset_hound_15.jpg
Gato,British_Shorthair,images/British_Shorthair_43.jpg
Gato,Ragdoll,images/Ragdoll_27.jpg
Perro,shiba_inu,images/shiba_inu_78.jpg
Gato,Siamese,images/Siamese_168.jpg
Perro,american_pit_bull_terrier,images/american_pit_bull_terrier_140.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_36.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_56.jpg
Gato,Sphynx,images/Sphynx_125.jpg
Perro,scottish_terrier,images/scottish_terrier_181.jpg
Gato,British_Shorthair,images/British_Shorthair_15.jpg
Gato,British_Shorthair,images/British_Shorthair_268.jpg
Perro,german_shorthaired,images/german_shorthaired_193.jpg
Perro,miniature_pinscher,images/miniature_pinscher_44.jpg
Perro,samoyed,images/samoyed_139.jpg
Gato,Bombay,images/Bombay_143.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_155.jpg
Gato,Birman,images/Birman_32.jpg
Gato,Bombay,images/Bombay_182.jpg
Perro,samoyed,images/samoyed_192.jpg
Perro,havanese,images/havanese_54.jpg
Gato,Russian_Blue,images/Russian_Blue_96.jpg
Gato,Maine_Coon,images/Maine_Coon_35.jpg
Perro,saint_bernard,images/saint_bernard_109.jpg
Gato,Russian_Blue,images/Russian_Blue_50.jpg
Perro,wheaten_terrier,images/wheaten_terrier_13.jpg
Perro,pug,images/pug_25.jpg
Perro,shiba_inu,images/shiba_inu_1.jpg
Perro,great_pyrenees,images/great_pyrenees_83.jpg
Perro,wheaten_terrier,images/wheaten_terrier_38.jpg
Perro,samoyed,images/samoyed_45.jpg
Perro,great_pyrenees,images/great_pyrenees_52.jpg
Perro,leonberger,images/leonberger_166.jpg
Perro,boxer,images/boxer_111.jpg
Perro,chihuahua,images/chihuahua_66.jpg
Perro,miniature_pinscher,images/miniature_pinscher_126.jpg
Perro,saint_bernard,images/saint_bernard_28.jpg
Perro,english_setter,images/english_setter_47.jpg
Perro,english_cocker_spaniel,images/english_cocker_spaniel_70.jpg
Perro,beagle,images/beagle_154.jpg
Gato,Bengal,images/Bengal_185.jpg
Gato,Bombay,images/Bombay_5.jpg
Perro,english_setter,images/english_setter_141.jpg
Perro,keeshond,images/keeshond_11.jpg
Perro,boxer,images/boxer_52.jpg
Perro,scottish_terrier,images/scottish_terrier_88.jpg
Perro,shiba_inu,images/shiba_inu_106.jpg
Perro,chihuahua,images/chihuahua_163.jpg
Perro,scottish_terrier,images/scottish_terrier_104.jpg
Perro,wheaten_terrier,images/wheaten_terrier_92.jpg
Perro,shiba_inu,images/shiba_inu_87.jpg
Perro,great_pyrenees,images/great_pyrenees_72.jpg
Gato,Egyptian_Mau,images/Egyptian_Mau_51.jpg
Perro,leonberger,images/leonberger_112.jpg
Perro,english_setter,images/english_setter_32.jpg
Gato,Bengal,images/Bengal_134.jpg
Perro,pomeranian,images/pomeranian_83.jpg
Perro,newfoundland,images/newfoundland_20.jpg
Perro,boxer,images/boxer_177.jpg
Perro,shiba_inu,images/shiba_inu_146.jpg
Perro,saint_bernard,images/saint_bernard_143.jpg
Perro,shiba_inu,images/shiba_inu_183.jpg
Perro,shiba_inu,images/shiba_inu_43.jpg
Perro,keeshond,images/keeshond_56.jpg
Gato,British_Shorthair,images/British_Shorthair_65.jpg
Gato,Siamese,images/Siamese_39.jpg
Gato,Sphynx,images/Sphynx_121.jpg
Gato,Bengal,images/Bengal_126.jpg
Perro,beagle,images/beagle_24.jpg
Perro,havanese,images/havanese_50.jpg
Perro,pug,images/pug_187.jpg
Perro,great_pyrenees,images/great_pyrenees_93.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_200.jpg
Gato,Persian,images/Persian_49.jpg
Gato,Bombay,images/Bombay_110.jpg
Gato,Egyptian_Mau,images/Egyptian_Mau_214.jpg
Perro,boxer,images/boxer_163.jpg
Perro,great_pyrenees,images/great_pyrenees_57.jpg
Gato,Abyssinian,images/Abyssinian_99.jpg
Perro,shiba_inu,images/shiba_inu_159.jpg
Perro,miniature_pinscher,images/miniature_pinscher_198.jpg
Perro,beagle,images/beagle_171.jpg
Perro,basset_hound,images/basset_hound_155.jpg
Gato,Abyssinian,images/Abyssinian_121.jpg
Perro,pug,images/pug_156.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_134.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_128.jpg
Gato,Bombay,images/Bombay_61.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_14.jpg
Gato,Siamese,images/Siamese_160.jpg
Perro,pug,images/pug_168.jpg
Perro,basset_hound,images/basset_hound_22.jpg
Perro,shiba_inu,images/shiba_inu_190.jpg
Gato,Sphynx,images/Sphynx_204.jpg
Perro,beagle,images/beagle_36.jpg
Perro,leonberger,images/leonberger_114.jpg
Gato,Bombay,images/Bombay_221.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_95.jpg
Gato,Abyssinian,images/Abyssinian_86.jpg
Perro,pug,images/pug_13.jpg
Perro,american_bulldog,images/american_bulldog_151.jpg
Perro,leonberger,images/leonberger_81.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_77.jpg
Gato,Sphynx,images/Sphynx_5.jpg
Perro,samoyed,images/samoyed_5.jpg
Perro,pug,images/pug_85.jpg
Perro,scottish_terrier,images/scottish_terrier_143.jpg
Perro,american_bulldog,images/american_bulldog_187.jpg
Gato,Sphynx,images/Sphynx_193.jpg
Perro,scottish_terrier,images/scottish_terrier_92.jpg
Perro,miniature_pinscher,images/miniature_pinscher_194.jpg
Gato,Russian_Blue,images/Russian_Blue_62.jpg
Perro,chihuahua,images/chihuahua_135.jpg
Perro,yorkshire_terrier,images/yorkshire_terrier_191.jpg
Perro,great_pyrenees,images/great_pyrenees_142.jpg
Gato,Siamese,images/Siamese_100.jpg
Perro,miniature_pinscher,images/miniature_pinscher_136.jpg
Gato,Siamese,images/Siamese_52.jpg
Perro,havanese,images/havanese_108.jpg
Perro,pomeranian,images/pomeranian_48.jpg
Perro,american_bulldog,images/american_bulldog_110.jpg
Gato,Siamese,images/Siamese_150.jpg
Perro,beagle,images/beagle_189.jpg
Gato,Bombay,images/Bombay_36.jpg
Perro,miniature_pinscher,images/miniature_pinscher_192.jpg
Gato,Maine_Coon,images/Maine_Coon_134.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_37.jpg
Gato,Bombay,images/Bombay_92.jpg
Perro,american_pit_bull_terrier,images/american_pit_bull_terrier_78.jpg
Perro,scottish_terrier,images/scottish_terrier_191.jpg
Gato,British_Shorthair,images/British_Shorthair_47.jpg
Gato,Sphynx,images/Sphynx_98.jpg
Perro,pomeranian,images/pomeranian_100.jpg
Perro,japanese_chin,images/japanese_chin_21.jpg
Perro,english_setter,images/english_setter_75.jpg
Perro,english_setter,images/english_setter_162.jpg
Gato,Bengal,images/Bengal_26.jpg
Perro,scottish_terrier,images/scottish_terrier_62.jpg
Perro,chihuahua,images/chihuahua_184.jpg
Perro,pomeranian,images/pomeranian_175.jpg
Perro,shiba_inu,images/shiba_inu_172.jpg
Perro,basset_hound,images/basset_hound_152.jpg
Perro,japanese_chin,images/japanese_chin_171.jpg
Gato,British_Shorthair,images/British_Shorthair_135.jpg
Perro,keeshond,images/keeshond_194.jpg
Gato,Bengal,images/Bengal_108.jpg
Perro,scottish_terrier,images/scottish_terrier_57.jpg
Gato,Ragdoll,images/Ragdoll_3.jpg
Gato,Abyssinian,images/Abyssinian_13.jpg
Gato,Abyssinian,images/Abyssinian_140.jpg
Gato,Bombay,images/Bombay_161.jpg
Perro,samoyed,images/samoyed_38.jpg
Perro,basset_hound,images/basset_hound_190.jpg
Perro,american_pit_bull_terrier,images/american_pit_bull_terrier_182.jpg
Perro,german_shorthaired,images/german_shorthaired_177.jpg
Perro,great_pyrenees,images/great_pyrenees_183.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_21.jpg
Perro,shiba_inu,images/shiba_inu_134.jpg
Gato,Russian_Blue,images/Russian_Blue_203.jpg
Perro,wheaten_terrier,images/wheaten_terrier_53.jpg
Perro,pomeranian,images/pomeranian_178.jpg
Perro,newfoundland,images/newfoundland_35.jpg
Gato,British_Shorthair,images/British_Shorthair_164.jpg
Perro,basset_hound,images/basset_hound_37.jpg
Gato,Birman,images/Birman_124.jpg
Perro,samoyed,images/samoyed_107.jpg
Perro,chihuahua,images/chihuahua_105.jpg
Gato,Russian_Blue,images/Russian_Blue_61.jpg
Perro,japanese_chin,images/japanese_chin_56.jpg
Gato,Bombay,images/Bombay_186.jpg
Perro,keeshond,images/keeshond_80.jpg
Perro,english_setter,images/english_setter_140.jpg
Gato,Bengal,images/Bengal_146.jpg
Perro,american_bulldog,images/american_bulldog_117.jpg
Perro,keeshond,images/keeshond_130.jpg
Perro,english_setter,images/english_setter_187.jpg
Perro,staffordshire_bull_terrier,images/staffordshire_bull_terrier_22.jpg
Gato,Siamese,images/Siamese_50.jpg
Perro,scottish_terrier,images/scottish_terrier_165.jpg
